89,FARU,"R$ 0,00",N/A,24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/FARU11
90,VRTA,"R$ 88,34","0,85",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/VRTA11
91,VRTM,"R$ 0,00",N/A,24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/VRTM11
92,BMII,"R$ 0,00","0,23",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/BMII11
93,FAOE,"R$ 0,00",N/A,24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/FAOE11
94,LRDI,"R$ 0,00",N/A,24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/LRDI11
95,MMPD,"R$ 0,00","1,07",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/MMPD11
96,IBCR,"R$ 78,41","0,90",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/IBCR11
97,IDGR,"R$ 14,30","0,07",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/IDGR11
98,IDUA,"R$ 0,00",N/A,24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/IDUA11
99,GAME,"R$ 9,11","0,09",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/GAME11
100,TRBL,"R$ 100,01","0,85",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/TRBL11
101,ANCR,"R$ 3.221,00","42,08",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/ANCR11
102,FAED,"R$ 158,71","1,48",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/FAED11
103,BMLC,"R$ 107,14","0,69",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/BMLC11
104,BPRP,"R$ 109,40","0,93",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/BPRP11
105,BRCR,"R$ 56,73","0,41",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/BRCR11
106,BCFF,"R$ 9,12","0,07",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/BCFF11
107,FCFL,"R$ 120,98","0,85",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/FCFL11
108,CNES,"R$ 3,10","0,11",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/CNES11
109,CEOC,"R$ 45,40","0,43",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/CEOC11
110,FAMB,"R$ 665,00","9,16",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/FAMB11
111,EDGA,"R$ 20,00","0,10",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/EDGA11
112,ELDO,"R$ 762,38","0,20",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/ELDO11
113,HCRI,"R$ 306,90","2,58",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/HCRI11
114,NSLU,"R$ 192,90","1,56",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/NSLU11
115,HTMX,"R$ 174,17","2,60",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/HTMX11
116,MAXR,"R$ 82,42","0,76",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/MAXR11
117,NCHB,"R$ 9,50","0,12",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/NCHB11
118,NVHO,"R$ 11,70","0,08",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/NVHO11
119,PQDP,"R$ 2.010,00","21,22",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/PQDP11
120,PATB,"R$ 0,00","1,18",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/PATB11
121,RBRM,"R$ 94.794,81","2.002,09",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/RBRM11
122,RBRR,"R$ 92,98","0,84",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/RBRR11
123,RECR,"R$ 87,24","0,88",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/RECR11
124,RECT,"R$ 42,09","0,40",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/RECT11
125,SHDP,"R$ 0,00","8,84",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/SHDP11
126,SAIC,"R$ 34,00","0,66",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/SAIC11
127,ALMI,"R$ 656,09","0,37",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/ALMI11
128,TRNT,"R$ 125,00","0,19",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/TRNT11
129,OUFF,"R$ 66,25","0,62",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/OUFF11
130,WTSP,"R$ 36,00","0,15",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/WTSP11
131,LVBI,"R$ 117,50","0,90",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/LVBI11
132,BRHT,"R$ 86,80",N/A,24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/BRHT11
133,BPFF,"R$ 73,40","0,62",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/BPFF11
